chr	insertion_site	norm_reads_5'	norm_reads_3'	QIseq_Run	Sample_pool_ID
chr6	1071201	93.85	108.8	Run_1	P110-1
chr14	1895870	5.38	1.69	Run_1	P110-1
chr8	1231790	1.54	0.42	Run_1	P110-1
chr11	892973	2.31	1.27	Run_1	P110-1
chr14	1698876	2.69	0	Run_1	P110-1
chr9	837648	0.77	0.42	Run_1	P110-1
chr2	767594	1.15	17.78	Run_1	P110-1
chr8	1231755	1.54	3.39	Run_1	P110-1
chr14	1055964	2.69	0	Run_1	P110-1
chr5	811885	0.77	0.42	Run_1	P110-1
chr14	2708300	0.38	2.12	Run_1	P110-1
chr13	2842127	4.23	0.42	Run_1	P110-1
chr11	1752546	0.38	0.42	Run_1	P110-1
chr8	430099	0.38	0.42	Run_1	P110-1
chr10	934855	0.77	0.42	Run_1	P110-1
chr11	539575	22.31	20.74	Run_1	P110-1
chr13	2781126	0.77	0.85	Run_1	P110-1
chr13	789187	216.54	73.66	Run_1	P110-1
chr8	957046	4.23	0.85	Run_1	P110-1
chr13	2842065	0.77	0.85	Run_1	P110-1
chr11	1523313	43.46	34.71	Run_1	P110-1
chr13	2842921	1.54	1.69	Run_1	P110-1
chr13	2842728	1.15	0.85	Run_1	P110-1
chr13	2092379	1.92	5.08	Run_1	P110-1
chr6	1243091	38.46	2.12	Run_1	P110-1
chr13	2842346	0.77	1.69	Run_1	P110-1
chr13	2842487	1.92	2.54	Run_1	P110-1
chr2	860202	11.92	8.04	Run_1	P110-1
chr14	1531705	0.77	8.04	Run_1	P110-1
chr13	2842850	0.38	0.85	Run_1	P110-1
chr3	724022	0.77	2.54	Run_1	P110-1
chr6	617025	3.08	18.63	Run_1	P110-1
chr13	1208723	1.92	0.42	Run_1	P110-1
chr13	2842199	3.46	2.96	Run_1	P110-1
chr12	140721	5	5.08	Run_1	P110-1
chr11	1500010	1.54	0.42	Run_1	P110-1
chr13	2845499	6.15	4.23	Run_1	P110-1
chr11	574189	1.92	1.69	Run_1	P110-1
chr13	2842404	0.77	1.69	Run_1	P110-1
chr7	1047000	2.69	3.81	Run_1	P110-1
chr11	685681	7.69	10.16	Run_1	P110-1
chr14	32410	1.15	0.42	Run_1	P110-1
chr13	2842679	3.08	1.69	Run_1	P110-1
chr10	451089	2.69	0	Run_1	P110-1
chr13	2842234	0.77	1.69	Run_1	P110-1
chr3	189345	1.92	0.85	Run_1	P110-1
chr2	85115	0.77	0.42	Run_1	P110-1
chr8	1374031	1.54	0.42	Run_1	P110-1
chr13	771007	1.15	0.42	Run_1	P110-1
chr13	1799708	29.23	8.04	Run_1	P110-1
chr13	2026520	2.69	0	Run_1	P110-1
chr10	112062	0.38	0.42	Run_1	P110-1
chr9	79859	50	0.42	Run_1	P110-1
chr5	465460	1.92	12.7	Run_1	P110-1
chr7	94746	3.46	0.85	Run_1	P110-1
chr13	2843094	0.38	2.12	Run_1	P110-1
chr13	2842785	1.54	2.12	Run_1	P110-1
chr14	846021	1.92	2.54	Run_1	P110-1
chr8	793728	4.62	0	Run_1	P110-1
chr3	531304	49.62	42.76	Run_1	P110-1
chr1	186145	28.46	3.39	Run_1	P110-1
chr13	2606185	10	8.47	Run_1	P110-1
chr10	115830	26.92	14.82	Run_1	P110-1
chr13	2843147	1.15	0.85	Run_1	P110-1
chr13	2842368	2.31	0.85	Run_1	P110-1
chr12	563505	2.69	3.81	Run_1	P110-1
chr4	1104070	0.38	0.42	Run_1	P110-1
chr3	86623	37.69	30.06	Run_1	P110-1
chr7	499130	2.31	0	Run_1	P110-1
chr6	1248776	81.15	51.22	Run_1	P110-1
chr10	71914	1.15	0.42	Run_1	P110-1
chr10	1356806	29.62	1.27	Run_1	P110-1
chr7	975287	6.92	7.2	Run_1	P110-1
chr12	516734	101.54	97.37	Run_1	P110-1
chr12	412880	11.92	2.54	Run_1	P110-1
chr2	794397	0.38	0.85	Run_1	P110-1
chr11	1566181	6.15	9.74	Run_1	P110-1
chr2	811583	0.38	0.42	Run_1	P110-1
chr6	462000	48.46	3.81	Run_1	P110-1
chr13	1825431	3.85	5.5	Run_1	P110-1
chr13	2842182	0.77	0.85	Run_1	P110-1
chr9	328621	0.38	2.12	Run_1	P110-1
chr3	352473	13.08	15.24	Run_1	P110-1
chr4	928931	46.15	38.1	Run_1	P110-1
chr14	1331383	28.85	22.86	Run_1	P110-1
chr11	238319	0.77	0.85	Run_1	P110-1
chr6	841186	3.08	2.54	Run_1	P110-1
chr13	2380482	2.69	0.85	Run_1	P110-1
chr4	438440	24.62	0	Run_1	P110-1
chr14	550059	1.54	0.42	Run_1	P110-1
chr5	297377	0.38	1.69	Run_1	P110-1
chr8	415468	0.38	1.27	Run_1	P110-1
chr13	1089474	1.15	2.12	Run_1	P110-1
chr9	1310673	0	12.7	Run_1	P110-1
chr14	1812894	21.92	22.44	Run_1	P110-10
chr4	786863	0.38	0.42	Run_1	P110-10
chr6	476750	0.38	0.85	Run_1	P110-10
chr14	2448459	38.46	8.47	Run_1	P110-10
chr13	1418298	113.08	147.32	Run_1	P110-10
chr5	1296386	29.23	46.99	Run_1	P110-10
chr10	553810	1.54	0.42	Run_1	P110-10
chr12	1039078	3.46	1.27	Run_1	P110-10
chr9	1250793	41.92	35.14	Run_1	P110-10
chr2	260307	1.92	0.85	Run_1	P110-10
chr14	1176029	32.69	2.54	Run_1	P110-10
chr7	1366170	1.15	0.85	Run_1	P110-10
chr6	667365	53.46	105.41	Run_1	P110-10
chr13	2770721	10	6.35	Run_1	P110-10
chr11	1739772	29.23	29.21	Run_1	P110-10
chr3	715415	0.77	0.42	Run_1	P110-10
chr12	1568288	0.77	0.85	Run_1	P110-10
chr12	1764732	14.23	19.47	Run_1	P110-10
chr11	1676856	11.54	14.39	Run_1	P110-10
chr14	3138659	2.69	2.12	Run_1	P110-10
chr8	96588	4.62	2.96	Run_1	P110-10
chr12	769606	121.54	118.96	Run_1	P110-10
chr12	1491664	0.77	0.42	Run_1	P110-10
chr12	1192517	0.77	0.42	Run_1	P110-10
chr12	1961874	6.15	5.93	Run_1	P110-10
chr10	599599	0.77	0.85	Run_1	P110-10
chr12	1313768	2.69	0	Run_1	P110-10
chr13	2842921	0.38	0.42	Run_1	P110-10
chr8	1070491	0.77	1.27	Run_1	P110-10
chr7	984146	0.38	1.27	Run_1	P110-10
chr10	733690	9.62	11.85	Run_1	P110-10
chr14	2126412	14.23	1.69	Run_1	P110-10
chr13	752991	3.85	5.5	Run_1	P110-10
chr9	1223955	1.54	0.42	Run_1	P110-10
chr13	2842346	0.38	0.42	Run_1	P110-10
chr2	451759	3.46	1.69	Run_1	P110-10
chr14	2741330	4.62	0	Run_1	P110-10
chr6	933481	8.08	90.59	Run_1	P110-10
chr9	29466	1.54	0.42	Run_1	P110-10
chr13	2842487	0.38	1.27	Run_1	P110-10
chr11	1125145	0.38	0.42	Run_1	P110-10
chr14	1706526	1.54	0.42	Run_1	P110-10
chr8	1434222	3.08	0	Run_1	P110-10
chr13	705973	1.54	0.85	Run_1	P110-10
chr7	954172	3.85	0.42	Run_1	P110-10
chr14	3116484	11.54	2.96	Run_1	P110-10
chr6	498591	5.77	29.63	Run_1	P110-10
chr1	81477	0.38	0.85	Run_1	P110-10
chr9	965331	0.38	0.42	Run_1	P110-10
chr12	1768863	0.77	1.27	Run_1	P110-10
chr12	835918	23.08	0	Run_1	P110-10
chr12	834153	0.38	11.01	Run_1	P110-10
chr1	521668	0.38	0.85	Run_1	P110-10
chr11	779061	5	5.08	Run_1	P110-10
chr13	2842199	1.15	1.27	Run_1	P110-10
chr10	1505430	1.54	0.42	Run_1	P110-10
chr10	216125	5.77	12.7	Run_1	P110-10
